"source_export","date_filter","date_start","date_end","page","clicks","impressions","ctr_percent","position","position_6_12","legacy_html"
"atelierdeconsultanta.ro-Performance-on-Search-2026-07-12.zip","Last 3 months","2026-04-11","2026-07-10","https://atelierdeconsultanta.ro/cum-se-verifica-eligibilitatea-fonduri-europene","0","34","0","9.15","true","false"
"atelierdeconsultanta.ro-Performance-on-Search-2026-07-12.zip","Last 3 months","2026-04-11","2026-07-10","https://atelierdeconsultanta.ro/fonduri-europene-nord-est","0","34","0","9.97","true","false"
"atelierdeconsultanta.ro-Performance-on-Search-2026-07-12.zip","Last 3 months","2026-04-11","2026-07-10","https://atelierdeconsultanta.ro/cum-se-calculeaza-cofinantarea-fonduri-europene","0","31","0","11.48","true","false"
"atelierdeconsultanta.ro-Performance-on-Search-2026-07-12.zip","Last 3 months","2026-04-11","2026-07-10","https://atelierdeconsultanta.ro/dr14-afir-ferme-mici","0","31","0","12.39","false","false"
"atelierdeconsultanta.ro-Performance-on-Search-2026-07-12.zip","Last 3 months","2026-04-11","2026-07-10","https://atelierdeconsultanta.ro/digitalizare-imm-erp-crm-cloud","0","29","0","14.31","false","false"
"atelierdeconsultanta.ro-Performance-on-Search-2026-07-12.zip","Last 3 months","2026-04-11","2026-07-10","https://atelierdeconsultanta.ro/blog.html?post=blog-1","0","28","0","4.5","false","true"
"atelierdeconsultanta.ro-Performance-on-Search-2026-07-12.zip","Last 3 months","2026-04-11","2026-07-10","https://atelierdeconsultanta.ro/pro-infra.html","0","27","0","9.11","true","true"
"atelierdeconsultanta.ro-Performance-on-Search-2026-07-12.zip","Last 3 months","2026-04-11","2026-07-10","https://atelierdeconsultanta.ro/cum-alegi-programul-potrivit-fonduri-europene-2026","0","26","0","6.46","true","false"
"atelierdeconsultanta.ro-Performance-on-Search-2026-07-12.zip","Last 3 months","2026-04-11","2026-07-10","https://atelierdeconsultanta.ro/cheltuieli-eligibile-digitalizare-imm","0","24","0","11.33","true","false"
"atelierdeconsultanta.ro-Performance-on-Search-2026-07-12.zip","Last 3 months","2026-04-11","2026-07-10","https://atelierdeconsultanta.ro/dr-14-afir-conditii-eligibilitate-greseli-frecvente.html","2","24","8.33","8.83","true","true"
"atelierdeconsultanta.ro-Performance-on-Search-2026-07-12.zip","Last 3 months","2026-04-11","2026-07-10","https://atelierdeconsultanta.ro/gdpr","0","24","0","26.92","false","false"
"atelierdeconsultanta.ro-Performance-on-Search-2026-07-12.zip","Last 3 months","2026-04-11","2026-07-10","https://atelierdeconsultanta.ro/cat-costa-consultanta-fonduri-europene-ghid","0","22","0","6.77","true","false"
"atelierdeconsultanta.ro-Performance-on-Search-2026-07-12.zip","Last 3 months","2026-04-11","2026-07-10","https://atelierdeconsultanta.ro/fonduri-europene-digitalizare","0","22","0","14.32","false","false"
"atelierdeconsultanta.ro-Performance-on-Search-2026-07-12.zip","Last 3 months","2026-04-11","2026-07-10","https://atelierdeconsultanta.ro/glosar-fonduri-europene","1","22","4.55","9.77","true","false"
"atelierdeconsultanta.ro-Performance-on-Search-2026-07-12.zip","Last 3 months","2026-04-11","2026-07-10","https://atelierdeconsultanta.ro/intrebari-frecvente","0","21","0","8.71","true","false"
"atelierdeconsultanta.ro-Performance-on-Search-2026-07-12.zip","Last 3 months","2026-04-11","2026-07-10","https://atelierdeconsultanta.ro/startup-nation-2026-conditii","0","21","0","14.62","false","false"
"atelierdeconsultanta.ro-Performance-on-Search-2026-07-12.zip","Last 3 months","2026-04-11","2026-07-10","https://atelierdeconsultanta.ro/autoconsum-publici.html","0","20","0","3.95","false","true"
"atelierdeconsultanta.ro-Performance-on-Search-2026-07-12.zip","Last 3 months","2026-04-11","2026-07-10","https://atelierdeconsultanta.ro/consultanta-fonduri-europene/","0","20","0","14.65","false","false"
"atelierdeconsultanta.ro-Performance-on-Search-2026-07-12.zip","Last 3 months","2026-04-11","2026-07-10","https://atelierdeconsultanta.ro/firma-consultanta-fonduri-europene","0","20","0","20.3","false","false"
"atelierdeconsultanta.ro-Performance-on-Search-2026-07-12.zip","Last 3 months","2026-04-11","2026-07-10","https://atelierdeconsultanta.ro/fondul-de-modernizare-finantari-energie-fotovoltaice-autoconsum","0","20","0","8.75","true","false"
"atelierdeconsultanta.ro-Performance-on-Search-2026-07-12.zip","Last 3 months","2026-04-11","2026-07-10","https://atelierdeconsultanta.ro/afir-autoconsum-agroalimentar.html","0","19","0","19.53","false","true"
"atelierdeconsultanta.ro-Performance-on-Search-2026-07-12.zip","Last 3 months","2026-04-11","2026-07-10","https://atelierdeconsultanta.ro/fonduri-pentru-utilaje-agricole","0","19","0","4.53","false","false"
"atelierdeconsultanta.ro-Performance-on-Search-2026-07-12.zip","Last 3 months","2026-04-11","2026-07-10","https://atelierdeconsultanta.ro/idei-afaceri-fonduri-europene","0","19","0","22.42","false","false"
"atelierdeconsultanta.ro-Performance-on-Search-2026-07-12.zip","Last 3 months","2026-04-11","2026-07-10","https://atelierdeconsultanta.ro/politica-de-confidentialitate","0","18","0","13.33","false","false"
"atelierdeconsultanta.ro-Performance-on-Search-2026-07-12.zip","Last 3 months","2026-04-11","2026-07-10","https://atelierdeconsultanta.ro/fonduri-europene-nerambursabile-2026/","0","17","0","6.47","true","false"
